 1883	  3761.98267	  1021.98444	  1609.46094	  1655.12561
 1884	  3760.17993	  1144.10303	  1651.39807	  1697.04321
 1884	  3760.17993	  1144.10303	  1651.39807	  1697.04321
 1882	  3741.68213	  1127.10522	  1645.87109	  1691.51868
 1882	  3741.68213	  1127.10522	  1645.87109	  1691.51868
 1882	  3741.68213	  1127.10522	  1645.87109	  1691.51868
 1885	  3744.85278	  901.92535	  1568.54395	  1614.22754
 1883	  3761.98267	  1021.98444	  1609.46094	  1655.12561
 1886	  3745.14111	  883.04718	  1562.06079	  1607.74756
 1887	  3770.09619	  448.02264	  1412.36145	  1458.11743
 1888	  3751.29761	  447.05426	  1412.34021	  1458.09619
 1889	  3774.94678	  104.62909	  1294.43945	  1340.25024
 1889	  3774.94678	  104.62909	  1294.43945	  1340.25024
 1888	  3751.29761	  447.05426	  1412.34021	  1458.09619
 1888	  3751.29761	  447.05426	  1412.34021	  1458.09619
 1888	  3751.29761	  447.05426	  1412.34021	  1458.09619
 1890	  3756.82788	  55.3476	  1277.82751	  1323.646
 1889	  3774.94678	  104.62909	  1294.43945	  1340.25024
 1891	  3756.9978	  43.31171	  1273.69434	  1319.51477
 1892	  3776.75977	 -23.75317	  1250.35291	  1296.18408
 1893	  3760.26807	 -188.49103	  1194.09302	  1239.95032
 1894	  3779.21582	 -197.6308	  1190.64294	  1236.50195
 1895	  3760.56079	 -209.18182	  1186.98767	  1232.84827
 1896	  3781.48657	 -357.98822	  1135.57593	  1181.46033
 1897	  3762.56372	 -350.16339	  1138.57422	  1184.45728
 1898	  3762.8479	 -370.27399	  1131.66821	  1177.55444
 1898	  3762.8479	 -370.27399	  1131.66821	  1177.55444
 1896	  3781.48657	 -357.98822	  1135.57593	  1181.46033
 1896	  3781.48657	 -357.98822	  1135.57593	  1181.46033
 1896	  3781.48657	 -357.98822	  1135.57593	  1181.46033
 1898	  3762.8479	 -370.27399	  1131.66821	  1177.55444
 1899	  3788.09814	 -825.86206	  974.9071	  1020.86615
 1900	  3767.68945	 -826.90381	  974.88733	  1020.84637
 1901	  3792.97095	 -1170.67786	  856.49677	  902.51074
 1902	  3775.72949	 -1281.82593	  818.63953	  864.67108
 1902	  3775.72949	 -1281.82593	  818.63953	  864.67108
 1903	  3778.01733	 -1444.46252	  762.79004	  808.84753
 1903	  3778.01733	 -1444.46252	  762.79004	  808.84753
 1904	  3796.97168	 -1454.09375	  759.17126	  805.23047
 1905	  3776.03564	 -1303.47986	  811.20355	  857.23859
 1906	  3792.97095	 -1170.67786	  856.49677	  902.51074
 1902	  3775.72949	 -1281.82593	  818.63953	  864.67108
 1902	  3775.72949	 -1281.82593	  818.63953	  864.67108
 1903	  3778.01733	 -1444.46252	  762.79004	  808.84753
 1903	  3778.01733	 -1444.46252	  762.79004	  808.84753
 1903	  3778.01733	 -1444.46252	  762.79004	  808.84753
 1907	  3778.30933	 -1465.15332	  755.68475	  801.74554
 1904	  3796.97168	 -1454.09375	  759.17126	  805.23047
 1908	  3781.59058	 -1696.95557	  676.08337	  722.18115
 1909	  3801.24341	 -1756.21533	  655.42212	  701.52948
 1910	  3781.76074	 -1708.99146	  671.9502	  718.04987
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1912	  3806.1001	 -2099.74658	  537.45276	  583.61487
 1912	  3806.1001	 -2099.74658	  537.45276	  583.61487
 1912	  3806.1001	 -2099.74658	  537.45276	  583.61487
 1909	  3801.24341	 -1756.21533	  655.42212	  701.52948
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1911	  3787.30127	 -2100.69751	  537.43756	  583.59961
 1913	  3793.46729	 -2536.68994	  387.71686	  433.94843
 1912	  3806.1001	 -2099.74658	  537.45276	  583.61487
 1914	  3793.7124	 -2555.57031	  381.2337	  427.46826
 1915	  3814.21777	 -2674.3689	  340.1264	  386.38007
 1916	  3796.90625	 -2780.74902	  303.90668	  350.17712
 1917	  3815.91528	 -2795.83228	  298.41608	  344.68909
 1917	  3815.91528	 -2795.83228	  298.41608	  344.68909
 1918	  1696.48401	 -2887.96582	  301.86688	  348.13831
 1918	  1696.48401	 -2887.96582	  301.86688	  348.13831
 1918	  1696.48401	 -2887.96582	  301.86688	  348.13831
 1919	  1693.22888	 -2657.6167	  380.96924	  427.20392
 1920	  1683.02441	 -2888.65308	  301.85382	  348.12524
 1921	  1679.76929	 -2658.30371	  380.95618	  427.19086
 1921	  1679.76929	 -2658.30371	  380.95618	  427.19086
 1922	  2278.14917	 -2858.27466	  302.43176	  348.70294
 1922	  2278.14917	 -2858.27466	  302.43176	  348.70294
 1923	  1953.84546	 -2525.73218	  419.97803	  466.19458
 1924	  1696.48401	 -2887.96582	  301.86688	  348.13831
 1925	  1693.22888	 -2657.6167	  380.96924	  427.20392
 1925	  1693.22888	 -2657.6167	  380.96924	  427.20392
 1926	  1953.84546	 -2525.73218	  419.97803	  466.19458
 1926	  1953.84546	 -2525.73218	  419.97803	  466.19458
 1927	  2278.14917	 -2858.27466	  302.43176	  348.70294
 1928	  2398.39185	 -2496.95874	  424.43427	  470.6488
 1928	  2398.39185	 -2496.95874	  424.43427	  470.6488
 1929	  2398.39185	 -2496.95874	  424.43427	  470.6488
 1929	  2398.39185	 -2496.95874	  424.43427	  470.6488
