6001	3095	16.80721	-3.1361	10.21122	10.70824
6002	3096	16.72347	-3.17728	10.2122	10.70922
6003	3096	16.72347	-3.17728	10.2122	10.70922
6004	3095	16.80721	-3.1361	10.21122	10.70824
6005	3097	16.82214	-3.17976	10.21003	10.70705
6006	3098	16.72347	-3.17728	10.2122	10.70922
6007	3099	16.82214	-3.17976	10.21003	10.70705
6008	3100	16.73653	-3.22555	10.21087	10.70789
6009	3100	16.73653	-3.22555	10.21087	10.70789
6010	3099	16.82214	-3.17976	10.21003	10.70705
6011	3101	16.83705	-3.22339	10.20879	10.70582
6012	3102	16.68741	-3.2236	10.11255	10.6096
6013	3103	16.69864	-3.18309	10.11348	10.61053
6014	3104	16.6612	-3.19592	10.11412	10.61117
6015	3104	16.6612	-3.19592	10.11412	10.61117
6016	3103	16.69864	-3.18309	10.11348	10.61053
6017	3105	16.67983	-3.14282	10.11525	10.6123
6018	3106	16.66107	-3.10273	10.11737	10.61442
6019	3107	16.63505	-3.16843	10.11603	10.61308
6020	3108	16.67983	-3.14282	10.11525	10.6123
6021	3108	16.67983	-3.14282	10.11525	10.6123
6022	3107	16.63505	-3.16843	10.11603	10.61308
6023	3109	16.6612	-3.19592	10.11412	10.61117
6024	3110	16.70948	-3.12594	10.11511	10.61216
6025	3111	16.69655	-3.07813	10.11732	10.61437
6026	3112	16.67983	-3.14282	10.11525	10.6123
6027	3112	16.67983	-3.14282	10.11525	10.6123
6028	3111	16.69655	-3.07813	10.11732	10.61437
6029	3113	16.66107	-3.10273	10.11737	10.61442
6030	3114	16.72246	-3.17392	10.11323	10.61028
6031	3115	16.70948	-3.12594	10.11511	10.61216
6032	3116	16.69864	-3.18309	10.11348	10.61053
6033	3116	16.69864	-3.18309	10.11348	10.61053
6034	3115	16.70948	-3.12594	10.11511	10.61216
6035	3117	16.67983	-3.14282	10.11525	10.6123
6036	3118	16.73653	-3.22555	10.21087	10.70789
6037	3119	16.71272	-3.23473	10.21112	10.70814
6038	3120	16.72347	-3.17728	10.2122	10.70922
6039	3120	16.72347	-3.17728	10.2122	10.70922
6040	3119	16.71272	-3.23473	10.21112	10.70814
6041	3121	16.69383	-3.19417	10.21236	10.70938
6042	3122	16.67493	-3.15358	10.21354	10.71056
6043	3123	16.71041	-3.12898	10.21348	10.7105
6044	3124	16.69383	-3.19417	10.21236	10.70938
6045	3124	16.69383	-3.19417	10.21236	10.70938
6046	3123	16.71041	-3.12898	10.21348	10.7105
6047	3125	16.72347	-3.17728	10.2122	10.70922
6048	3126	16.6752	-3.24727	10.21124	10.70826
6049	3127	16.64891	-3.21929	10.21221	10.70923
6050	3128	16.69383	-3.19417	10.21236	10.70938
6051	3128	16.69383	-3.19417	10.21236	10.70938
6052	3127	16.64891	-3.21929	10.21221	10.70923
6053	3129	16.67493	-3.15358	10.21354	10.71056
6054	3130	16.70148	-3.27524	10.21021	10.70723
6055	3131	16.6752	-3.24727	10.21124	10.70826
6056	3132	16.71272	-3.23473	10.21112	10.70814
6057	3132	16.71272	-3.23473	10.21112	10.70814
6058	3131	16.6752	-3.24727	10.21124	10.70826
6059	3133	16.69383	-3.19417	10.21236	10.70938
6060	3134	16.66701	-3.44481	10.10662	10.60367
6061	3135	16.67408	-3.32023	10.11006	10.60711
6062	3136	16.63414	-3.44545	10.10751	10.60456
6063	3136	16.63414	-3.44545	10.10751	10.60456
6064	3135	16.67408	-3.32023	10.11006	10.60711
6065	3137	16.643	-3.3064	10.11133	10.60838
