VTX,  IDX,  gl_Position.x,  gl_Position.y,  gl_Position.z,  gl_Position.w
520,  285,  -74.4025,   12.71979,   73.07803,   73.55708
521,  287,  -74.75284,  -5.37726,   72.38171,   72.86098
522,  288,   89.72504,  -26.55499,   91.95818,   92.43184
523,  289,   93.71865,  -26.94281,   92.69159,   93.16504
524,  290,   89.72504,  -60.91972,   90.96875,   91.44269
525,  290,   89.72504,  -60.91972,   90.96875,   91.44269
526,  289,   93.71865,  -26.94281,   92.69159,   93.16504
527,  291,   93.71866,  -61.30753,   91.70215,   92.17589
528,  292,  -9.77222,   879.07172,  -311.418,  -310.82901
529,  293,  -10.985,   886.75165,  -325.94138,  -325.3483
530,  294,  -9.77225,   1148.01819,  -303.67447,  -303.08774
531,  294,  -9.77225,   1148.01819,  -303.67447,  -303.08774
532,  293,  -10.985,   886.75165,  -325.94138,  -325.3483
533,  295,  -10.98503,   1155.698,  -318.19785,  -317.60696
534,  296,  -6.64258,   1132.42957,  -274.19513,  -273.61682
535,  292,  -9.77222,   879.07172,  -311.418,  -310.82901
536,  294,  -9.77225,   1148.01819,  -303.67447,  -303.08774
537,  297,  -6.64255,   863.48315,  -281.93866,  -281.35812
538,  292,  -9.77222,   879.07172,  -311.418,  -310.82901
539,  296,  -6.64258,   1132.42957,  -274.19513,  -273.61682
540,  292,  -9.77222,   879.07172,  -311.418,  -310.82901
541,  298,  -9.77218,   598.32062,  -319.50137,  -318.91013
542,  293,  -10.985,   886.75165,  -325.94138,  -325.3483
543,  293,  -10.985,   886.75165,  -325.94138,  -325.3483
544,  298,  -9.77218,   598.32062,  -319.50137,  -318.91013
545,  299,  -10.98496,   606.00055,  -334.02481,  -333.42941
546,  297,  -6.64255,   863.48315,  -281.93866,  -281.35812
547,  300,  -6.64251,   582.73212,  -290.02206,  -289.43924
548,  301,  -9.77222,   879.07172,  -311.418,  -310.82901
549,  301,  -9.77222,   879.07172,  -311.418,  -310.82901
550,  300,  -6.64251,   582.73212,  -290.02206,  -289.43924
551,  302,  -9.77218,   598.32062,  -319.50137,  -318.91013
552,  303,   93.71865,  -26.94281,   92.69159,   93.16504
553,  304,   98.11075,  -27.03105,   92.85846,   93.33188
554,  305,   93.71866,  -61.30753,   91.70215,   92.17589
555,  305,   93.71866,  -61.30753,   91.70215,   92.17589
556,  304,   98.11075,  -27.03105,   92.85846,   93.33188
557,  306,   98.11075,  -61.39577,   91.86903,   92.34273
558,  307,   98.11075,  -27.03105,   92.85846,   93.33188
559,  308,   114.37592,  -26.937,   92.68062,   93.15408
560,  309,   98.11075,  -61.39577,   91.86903,   92.34273
561,  309,   98.11075,  -61.39577,   91.86903,   92.34273
562,  308,   114.37592,  -26.937,   92.68062,   93.15408
563,  310,   114.37593,  -61.30173,   91.69119,   92.16493
564,  311,  -82.16704,  -15.58097,   91.75516,   92.22887
565,  312,  -105.24921,  -15.75375,   92.06743,   92.54106
566,  313,  -82.1602,   47.99521,   93.6505,   94.12367
567,  313,  -82.1602,   47.99521,   93.6505,   94.12367
568,  312,  -105.24921,  -15.75375,   92.06743,   92.54106
569,  314,  -105.27222,   47.70592,   94.19756,   94.67058
570,  315,   80.26837,  -21.08022,   81.21858,   81.69531
571,  316,   82.57841,  -27.62487,   93.59514,   94.06834
572,  317,   118.04829,  -20.90038,   80.87852,   81.35536
573,  317,   118.04829,  -20.90038,   80.87852,   81.35536
574,  316,   82.57841,  -27.62487,   93.59514,   94.06834
575,  318,   118.71434,  -27.45449,   93.27296,   93.74625
576,  319,  -74.75284,  -5.37726,   72.38171,   72.86098
577,  320,  -60.92909,   5.19659,   52.38557,   52.87054
578,  321,  -75.06895,  -50.31178,   70.90802,   71.38771
579,  321,  -75.06895,  -50.31178,   70.90802,   71.38771
580,  320,  -60.92909,   5.19659,   52.38557,   52.87054
581,  322,  -61.02923,  -39.8735,   51.16827,   51.65359
582,  323,   114.45909,  -19.82168,   81.00169,   81.47849
583,  324,   81.66531,  -20.55811,   81.15823,   81.63499
584,  325,   114.55222,   11.12527,   81.88773,   82.36427
585,  325,   114.55222,   11.12527,   81.88773,   82.36427
586,  324,   81.66531,  -20.55811,   81.15823,   81.63499
587,  326,   76.98076,   10.84761,   81.87199,   82.34854
588,  327,  -101.45238,  -52.3961,   74.84964,   75.3282
589,  328,  -101.21497,  -7.48258,   76.36307,   76.84119
590,  329,  -84.29903,  -51.54092,   73.23245,   73.71146
591,  329,  -84.29903,  -51.54092,   73.23245,   73.71146
592,  328,  -101.21497,  -7.48258,   76.36307,   76.84119
593,  330,  -83.77515,  -6.62661,   74.74435,   75.22293
594,  331,  -74.75284,  -5.37726,   72.38171,   72.86098
595,  332,  -75.06895,  -50.31178,   70.90802,   71.38771
596,  333,  -83.77515,  -6.62661,   74.74435,   75.22293
597,  333,  -83.77515,  -6.62661,   74.74435,   75.22293
598,  332,  -75.06895,  -50.31178,   70.90802,   71.38771
599,  334,  -84.29903,  -51.54092,   73.23245,   73.71146
600,  335,  -84.30095,  -51.78589,   73.69571,   74.17459
601,  336,  -84.25478,  -5.27327,   75.04352,   75.52202
602,  337,  -84.30095,  -7.52219,   74.97015,   75.44867
603,  338,   114.55222,   11.12527,   81.88773,   82.36427
604,  339,   76.98076,   10.84761,   81.87199,   82.34854
605,  340,   114.51657,   54.39224,   83.11566,   83.59184
606,  340,   114.51657,   54.39224,   83.11566,   83.59184
607,  339,   76.98076,   10.84761,   81.87199,   82.34854
608,  341,   70.10603,   54.28485,   83.31871,   83.79483
609,  342,  -82.14697,  -60.7486,   90.64503,   91.11906
610,  343,  -82.16704,  -15.58097,   91.75516,   92.22887
611,  344,  -84.30095,  -51.78589,   73.69571,   74.17459
612,  344,  -84.30095,  -51.78589,   73.69571,   74.17459
613,  343,  -82.16704,  -15.58097,   91.75516,   92.22887
614,  345,  -84.25478,  -5.27327,   75.04352,   75.52202
615,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
616,  347,  -6.64255,   863.48315,  -281.93866,  -281.35812
617,  348,   17.85619,   1132.65735,  -274.62589,  -274.04745
618,  348,   17.85619,   1132.65735,  -274.62589,  -274.04745
619,  347,  -6.64255,   863.48315,  -281.93866,  -281.35812
620,  349,  -6.64258,   1132.42957,  -274.19513,  -273.61682
621,  350,   42.37796,   1132.88306,  -275.05261,  -274.47406
622,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
623,  348,   17.85619,   1132.65735,  -274.62589,  -274.04745
624,  347,  -6.64255,   863.48315,  -281.93866,  -281.35812
625,  351,   17.85626,   582.9599,  -290.45279,  -289.86984
626,  352,  -6.64251,   582.73212,  -290.02206,  -289.43924
627,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
628,  351,   17.85626,   582.9599,  -290.45279,  -289.86984
629,  347,  -6.64255,   863.48315,  -281.93866,  -281.35812
630,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
631,  353,   42.37804,   583.18561,  -290.87955,  -290.29648
632,  351,   17.85626,   582.9599,  -290.45279,  -289.86984
633,  354,   42.378,   863.93665,  -282.79614,  -282.21536
634,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
635,  350,   42.37796,   1132.88306,  -275.05261,  -274.47406
636,  354,   42.378,   863.93665,  -282.79614,  -282.21536
637,  353,   42.37804,   583.18561,  -290.87955,  -290.29648
638,  346,   17.85623,   863.71094,  -282.36938,  -281.78876
639,  355,   66.88873,   1133.104,  -275.47043,  -274.89175
640,  356,   42.378,   863.93665,  -282.79614,  -282.21536
641,  350,   42.37796,   1132.88306,  -275.05261,  -274.47406
642,  357,   66.88876,   864.15759,  -283.21396,  -282.63309
643,  356,   42.378,   863.93665,  -282.79614,  -282.21536
644,  355,   66.88873,   1133.104,  -275.47043,  -274.89175
645,  358,   42.378,   863.93665,  -282.79614,  -282.21536
646,  359,   66.88879,   583.40656,  -291.29739,  -290.7142
647,  353,   42.37804,   583.18561,  -290.87955,  -290.29648
648,  360,   66.88876,   864.15759,  -283.21396,  -282.63309
649,  359,   66.88879,   583.40656,  -291.29739,  -290.7142
650,  358,   42.378,   863.93665,  -282.79614,  -282.21536
651,  361,   163.81541,  -26.40657,   92.21829,   92.69188
652,  362,   163.81541,  -59.48358,   91.26593,   91.73979
653,  363,   114.32896,  -26.65083,   92.68018,   93.15363
654,  363,   114.32896,  -26.65083,   92.68018,   93.15363
655,  362,   163.81541,  -59.48358,   91.26593,   91.73979
656,  364,   114.32896,  -59.72784,   91.72781,   92.20154
657,  365,   114.32895,   4.65567,   93.58154,   94.05475
658,  361,   163.81541,  -26.40657,   92.21829,   92.69188
659,  363,   114.32896,  -26.65083,   92.68018,   93.15363
660,  366,   163.81541,   4.89993,   93.11966,   93.593
661,  361,   163.81541,  -26.40657,   92.21829,   92.69188
662,  365,   114.32895,   4.65567,   93.58154,   94.05475
663,  367,   114.32895,   48.19504,   94.83514,   95.30798
664,  366,   163.81541,   4.89993,   93.11966,   93.593
665,  365,   114.32895,   4.65567,   93.58154,   94.05475
666,  368,   163.8154,   48.4393,   94.37326,   94.84622
667,  366,   163.81541,   4.89993,   93.11966,   93.593
668,  367,   114.32895,   48.19504,   94.83514,   95.30798
669,  369,  -128.13538,   648.25458,  -131.63895,  -131.10138
670,  370,  -128.18156,   765.91974,  -128.2597,  -127.72311
671,  371,  -103.93999,   649.72351,  -132.79459,  -132.25668
672,  371,  -103.93999,   649.72351,  -132.79459,  -132.25668
673,  370,  -128.18156,   765.91974,  -128.2597,  -127.72311
674,  372,  -103.91934,   767.45691,  -129.46692,  -128.92996
675,  373,   240.81085,   974.83466,   88.37315,   88.84784
676,  374,   321.56848,   975.58746,   86.94946,   87.42456
677,  375,   240.81088,   663.01752,   79.39529,   79.87254
678,  375,   240.81088,   663.01752,   79.39529,   79.87254
679,  374,   321.56848,   975.58746,   86.94946,   87.42456
680,  376,   321.56851,   663.77039,   77.9716,   78.44926
681,  377,   74.78232,   0.55916,   34.01823,   34.50845
682,  378,   52.97513,   0.15779,   34.77722,   35.26723
683,  379,   77.48169,  -10.57267,   55.16736,   55.65154
684,  379,   77.48169,  -10.57267,   55.16736,   55.65154
685,  378,   52.97513,   0.15779,   34.77722,   35.26723
686,  380,   55.67451,  -10.97404,   55.92638,   56.41032
687,  381,   74.78232,   11.35406,   34.32904,   34.81917
688,  382,   77.48169,   0.1713,   55.4767,   55.96078
689,  383,   52.97513,   10.9527,   35.08803,   35.57794
690,  383,   52.97513,   10.9527,   35.08803,   35.57794
691,  382,   77.48169,   0.1713,   55.4767,   55.96078
692,  384,   55.6745,  -0.23007,   56.23572,   56.71959
693,  385,   77.48169,  -10.57267,   55.16736,   55.65154
694,  386,   55.67451,  -10.97404,   55.92638,   56.41032
695,  387,   77.48169,   0.1713,   55.4767,   55.96078
696,  387,   77.48169,   0.1713,   55.4767,   55.96078
697,  386,   55.67451,  -10.97404,   55.92638,   56.41032
698,  388,   55.6745,  -0.23007,   56.23572,   56.71959
699,  389,   160.04202,   974.07697,   89.80583,   90.28011
700,  390,   240.81085,   974.83466,   88.37315,   88.84784
701,  391,   160.04205,   662.25989,   80.82797,   81.30481
702,  391,   160.04205,   662.25989,   80.82797,   81.30481
703,  390,   240.81085,   974.83466,   88.37315,   88.84784
704,  392,   240.81088,   663.01752,   79.39529,   79.87254
705,  393,   129.6756,   986.38947,   66.5218,   67.00273
706,  394,   160.04202,   974.07697,   89.80583,   90.28011
707,  395,   129.67564,   674.57239,   57.54395,   58.02744
