VTX,  IDX,  gl_Position.x,  gl_Position.y,  gl_Position.z,  gl_Position.w
1164,  625,   16.76342,  -1.76949,   8.21282,   8.71041
1165,  623,   16.76188,  -1.76456,   8.20571,   8.7033
1166,  624,   16.83029,  -1.70139,   8.21336,   8.71096
1167,  618,   16.75409,  -1.45231,   8.11846,   8.61608
1168,  620,   16.61899,  -1.35445,   7.76927,   8.26699
1169,  626,   16.70386,  -1.26802,   7.76996,   8.26768
1170,  627,   16.59364,  -1.64583,   8.11629,   8.61391
1171,  620,   16.61899,  -1.35445,   7.76927,   8.26699
1172,  628,   16.66922,  -1.53874,   8.11777,   8.61539
1173,  628,   16.66922,  -1.53874,   8.11777,   8.61539
1174,  629,   16.68133,  -1.56881,   8.13198,   8.6296
1175,  630,   16.59364,  -1.64583,   8.11629,   8.61391
1176,  630,   16.59364,  -1.64583,   8.11629,   8.61391
1177,  629,   16.68133,  -1.56881,   8.13198,   8.6296
1178,  631,   16.60776,  -1.67307,   8.13054,   8.62816
1179,  632,   16.54341,  -1.46154,   7.76779,   8.26551
1180,  620,   16.61899,  -1.35445,   7.76927,   8.26699
1181,  627,   16.59364,  -1.64583,   8.11629,   8.61391
1182,  633,   16.68133,  -1.56881,   8.13198,   8.6296
1183,  634,   16.70223,  -1.84909,   8.20454,   8.70214
1184,  631,   16.60776,  -1.67307,   8.13054,   8.62816
1185,  635,   16.76188,  -1.76456,   8.20571,   8.7033
1186,  634,   16.70223,  -1.84909,   8.20454,   8.70214
1187,  633,   16.68133,  -1.56881,   8.13198,   8.6296
1188,  634,   16.70223,  -1.84909,   8.20454,   8.70214
1189,  635,   16.76188,  -1.76456,   8.20571,   8.7033
1190,  636,   16.70387,  -1.85386,   8.21166,   8.70925
1191,  636,   16.70387,  -1.85386,   8.21166,   8.70925
1192,  635,   16.76188,  -1.76456,   8.20571,   8.7033
1193,  637,   16.76342,  -1.76949,   8.21282,   8.71041
1194,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1195,  620,   16.61899,  -1.35445,   7.76927,   8.26699
1196,  632,   16.54341,  -1.46154,   7.76779,   8.26551
1197,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1198,  639,   16.26588,  -0.0657,   5.35206,   5.85047
1199,  640,   16.46956,  -0.80623,   6.73253,   7.23054
1200,  641,   16.19495,  -0.18313,   5.35018,   5.8486
1201,  639,   16.26588,  -0.0657,   5.35206,   5.85047
1202,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1203,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1204,  642,   16.12402,  -0.30055,   5.34831,   5.84672
1205,  641,   16.19495,  -0.18313,   5.35018,   5.8486
1206,  643,   16.32943,  -1.03821,   6.72882,   7.22684
1207,  642,   16.12402,  -0.30055,   5.34831,   5.84672
1208,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1209,  644,   16.46956,  -0.80623,   6.73253,   7.23054
1210,  620,   16.61899,  -1.35445,   7.76927,   8.26699
1211,  638,   16.39398,  -0.91332,   6.73105,   7.22906
1212,  645,   16.55443,  -0.7198,   6.73321,   7.23123
