VTX	 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
524	211	35.50286	134.67119	-279.98538	-279.40543
525	217	-2.10243	165.77422	-338.80417	-338.20737
526	216	26.55307	165.56517	-338.40878	-337.81216
527	215	0.29385	134.76836	-280.16913	-279.58911
528	218	-26.26702	-39.11039	48.65196	49.138
529	219	-41.14729	-62.55891	92.99533	93.46869
530	220	-53.53252	-38.79571	48.05685	48.54306
531	220	-53.53252	-38.79571	48.05685	48.54306
532	219	-41.14729	-62.55891	92.99533	93.46869
533	221	-62.69139	-62.59256	93.05893	93.53229
534	222	-49.7191	-28.88777	29.32001	29.81157
535	218	-26.26702	-39.11039	48.65196	49.138
536	220	-53.53252	-38.79571	48.05685	48.54306
537	223	-22.28952	-29.29601	30.09204	30.58337
538	218	-26.26702	-39.11039	48.65196	49.138
539	222	-49.7191	-28.88777	29.32001	29.81157
540	223	-22.28952	-29.29601	30.09204	30.58337
541	222	-49.7191	-28.88777	29.32001	29.81157
542	224	-22.18256	-15.12185	3.28737	3.78636
543	224	-22.18256	-15.12185	3.28737	3.78636
544	222	-49.7191	-28.88777	29.32001	29.81157
545	225	-44.15633	-14.43437	1.98727	2.48665
546	226	-2.76872	-39.15987	48.74556	49.23157
547	227	-20.42564	-62.34941	92.59915	93.07263
548	228	-26.26702	-39.11039	48.65196	49.138
549	228	-26.26702	-39.11039	48.65196	49.138
550	227	-20.42564	-62.34941	92.59915	93.07263
551	229	-41.14729	-62.55891	92.99533	93.46869
552	227	-20.42564	-62.34941	92.59915	93.07263
553	226	-2.76872	-39.15987	48.74556	49.23157
554	230	-14.77576	-62.29389	92.49417	92.96768
555	230	-14.77576	-62.29389	92.49417	92.96768
556	226	-2.76872	-39.15987	48.74556	49.23157
557	231	3.16502	-39.20448	48.82993	49.31592
558	232	-22.28952	-29.29601	30.09204	30.58337
559	226	-2.76872	-39.15987	48.74556	49.23157
560	228	-26.26702	-39.11039	48.65196	49.138
561	226	-2.76872	-39.15987	48.74556	49.23157
562	233	2.25407	-29.68362	30.82506	31.31619
563	231	3.16502	-39.20448	48.82993	49.31592
564	234	-22.18256	-15.12185	3.28737	3.78636
565	235	-4.44599	-15.63855	4.2645	4.76323
566	232	-22.28952	-29.29601	30.09204	30.58337
567	236	-2.70771	-29.58532	30.63918	31.13036
568	233	2.25407	-29.68362	30.82506	31.31619
569	226	-2.76872	-39.15987	48.74556	49.23157
570	236	-2.70771	-29.58532	30.63918	31.13036
571	226	-2.76872	-39.15987	48.74556	49.23157
572	232	-22.28952	-29.29601	30.09204	30.58337
573	232	-22.28952	-29.29601	30.09204	30.58337
574	235	-4.44599	-15.63855	4.2645	4.76323
575	236	-2.70771	-29.58532	30.63918	31.13036
576	236	-2.70771	-29.58532	30.63918	31.13036
577	237	0.92522	-15.79504	4.56046	5.0591
578	233	2.25407	-29.68362	30.82506	31.31619
579	235	-4.44599	-15.63855	4.2645	4.76323
