VTX	 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
1927	942	17.25497	-3.58722	11.693	12.18959
1928	941	17.32409	-3.51683	11.69355	12.19015
1929	946	17.19919	-3.48305	11.79464	12.29121
1930	942	17.25497	-3.58722	11.693	12.18959
1931	945	17.28406	-3.39662	11.79533	12.2919
1932	947	17.28406	-3.39662	11.79533	12.2919
1933	948	17.19302	-3.47121	11.80436	12.30092
1934	946	17.19919	-3.48305	11.79464	12.29121
1935	949	17.27958	-3.38305	11.80506	12.30162
1936	948	17.19302	-3.47121	11.80436	12.30092
1937	947	17.28406	-3.39662	11.79533	12.2919
1938	950	17.24398	-3.27043	11.81382	12.31038
1939	948	17.19302	-3.47121	11.80436	12.30092
1940	949	17.27958	-3.38305	11.80506	12.30162
1941	951	17.1468	-3.36939	11.81303	12.3096
1942	948	17.19302	-3.47121	11.80436	12.30092
1943	950	17.24398	-3.27043	11.81382	12.31038
1944	952	17.23426	-3.23993	11.81995	12.31651
1945	951	17.1468	-3.36939	11.81303	12.3096
1946	953	17.24398	-3.27043	11.81382	12.31038
1947	954	17.13403	-3.342	11.81914	12.3157
1948	951	17.1468	-3.36939	11.81303	12.3096
1949	952	17.23426	-3.23993	11.81995	12.31651
1950	952	17.23426	-3.23993	11.81995	12.31651
1951	955	17.13024	-3.33677	11.83504	12.3316
1952	954	17.13403	-3.342	11.81914	12.3157
1953	570	17.23182	-3.23332	11.83586	12.33242
1954	955	17.13024	-3.33677	11.83504	12.3316
1955	952	17.23426	-3.23993	11.81995	12.31651
1956	956	17.40203	-3.48273	11.67719	12.17379
1957	957	17.32956	-3.53309	11.67728	12.17388
1958	958	17.19259	-2.71436	10.22411	10.72113
1959	958	17.19259	-2.71436	10.22411	10.72113
1960	957	17.32956	-3.53309	11.67728	12.17388
1961	923	17.12012	-2.76471	10.2242	10.72122
1962	959	17.40203	-3.48273	11.67719	12.17379
1963	958	17.19259	-2.71436	10.22411	10.72113
1964	960	17.47836	-3.45161	11.67646	12.17307
1965	960	17.47836	-3.45161	11.67646	12.17307
1966	958	17.19259	-2.71436	10.22411	10.72113
1967	961	17.26892	-2.68322	10.22339	10.72041
1968	962	17.35325	-2.67174	10.22193	10.71895
1969	963	17.47836	-3.45161	11.67646	12.17307
1970	961	17.26892	-2.68322	10.22339	10.72041
1971	964	17.56269	-3.44012	11.67501	12.17161
1972	963	17.47836	-3.45161	11.67646	12.17307
1973	962	17.35325	-2.67174	10.22193	10.71895
1974	965	17.399	-3.46479	11.69346	12.19006
1975	966	17.4779	-3.43261	11.69272	12.18931
1976	967	17.37602	-3.33272	11.79521	12.29178
1977	966	17.4779	-3.43261	11.69272	12.18931
1978	965	17.399	-3.46479	11.69346	12.19006
1979	968	17.47836	-3.45161	11.67646	12.17307
1980	968	17.47836	-3.45161	11.67646	12.17307
1981	965	17.399	-3.46479	11.69346	12.19006
1982	969	17.40203	-3.48273	11.67719	12.17379
1983	967	17.37602	-3.33272	11.79521	12.29178
1984	966	17.4779	-3.43261	11.69272	12.18931
1985	970	17.4729	-3.29321	11.7943	12.29087
1986	970	17.4729	-3.29321	11.7943	12.29087
1987	971	17.37338	-3.31788	11.80494	12.30151
1988	967	17.37602	-3.33272	11.79521	12.29178
1989	972	17.47219	-3.27759	11.80401	12.30057
1990	971	17.37338	-3.31788	11.80494	12.30151
1991	970	17.4729	-3.29321	11.7943	12.29087
1992	973	17.4602	-3.15203	11.81264	12.3092
1993	974	17.37338	-3.31788	11.80494	12.30151
1994	972	17.47219	-3.27759	11.80401	12.30057
1995	975	17.34928	-3.19726	11.81369	12.31026
1996	974	17.37338	-3.31788	11.80494	12.30151
1997	973	17.4602	-3.15203	11.81264	12.3092
1998	976	17.06239	-1.60322	8.20398	8.70157
1999	977	16.97792	-1.61473	8.20544	8.70303
2000	978	17.05056	-1.36984	8.12988	8.62749
